"Bill of Material for "
"On 2022/9/17 at ¤W¤È 09:30:38"

"Comment","Pattern","Quantity","Components"

"0.01uF,0603","C0603","2","C6, C15",""
"0.03£[,1206","R1206","2","R1, R6",""
"0.1uF,0603","C0603","11","C1, C2, C3, C4, C5, C9, C13, C14, C17, C18, C22",""
"0£[,0603","R0603","3","R14, R15, R32",""
"1.8k£[,0603","R0603","1","R8",""
"100k£[,0603","R0603","1","R10",""
"10k£[,0603","R0603","10","R12, R16, R18, R20, R22, R25, R28, R29, R30, R31",""
"10uF,0805","C0805","1","C21",""
"10uH","IND_10UH","1","L2",""
"15pF,0603","C0603","2","C16, C20",""
"16MHz,3225","XTAL_SMD_3225","1","X1",""
"1N4148","1N4148","1","D1",""
"1£[,0603","R0603","2","R2, R3",""
"220k£[,0603","R0603","4","R17, R19, R21, R23",""
"22k£[,0603","R0603","1","R4",""
"22uF,0603","C0603","1","C7",""
"22uF,0805","C0805","3","C8, C11, C12",""
"24k£[,0603","R0603","1","R7",""
"26.1k£[,0603","R0603","1","R11",""
"3.9nF,0603","C0603","1","C10",""
"4.7k£[,0603","R0603","3","R24, R26, R27",""
"4.7uF,0603","C0603","1","C19",""
"5.1k£[,0603","R0603","1","R9",""
"56k£[,0603","R0603","1","R5",""
"6.8k£[,0603","R0603","1","R13",""
"80£[@100MHz,0805","L0805","2","L1, L3",""
"AT24C02","SOP8","1","U5",""
"Blue,0603","LED0603","1","LD1",""
"Header_1","Header_1_GND","4","H1, H2, H3, H4",""
"Header_2_SMD","HEADER_2_SMD","2","P1, P5",""
"Header_4_SMD","HEADER_4_SMD","1","P4",""
"Header_4","Header_4","1","P2",""
"Header_5_SMD","HEADER_5_SMD","1","P3",""
"INA3321","VQFN-16pin","1","U2",""
"Jump_2","Jp_small","8","J3, J4, J5, J6, J7, J8, J9, J10",""
"MP2307","SOIC8E","1","U1",""
"SS32","DIODE_SS32","1","D2",""
"STM32F030F4P6","TSSOP20","1","U4",""
"TLV8802","VSSOP-8","1","U3","TLV8802"
"TP","TP","4","TP5, TP6, TP7, TP8",""
"TP","TP_3x2mm","4","TP1, TP2, TP3, TP4",""
"TypeC_F","Type-C_16P_F_0.5","1","J1","Female SMD Connector"
"TypeC_M","Type-C_24P_M_0.75","1","J2","Male Straddle Mount Connector"
